BugId,Total,jaccard,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff,Total,tarantula,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff,Total,ochiai,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff,Total,dstar,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff
closure24,2835,2835,1.0000,2835,1.0000,0,0.0000,2835,2835,1.0000,2835,1.0000,0,0.0000,2835,2835,1.0000,2835,1.0000,0,0.0000,2835,2835,1.0000,2835,1.0000,0,0.0000
closure25,3941,3941,1.0000,3941,1.0000,0,0.0000,3941,3941,1.0000,3941,1.0000,0,0.0000,3941,3941,1.0000,3941,1.0000,0,0.0000,3941,3941,1.0000,3941,1.0000,0,0.0000
closure26,8187,8187,1.0000,8187,1.0000,0,0.0000,8187,8187,1.0000,8187,1.0000,0,0.0000,8187,8187,1.0000,8187,1.0000,0,0.0000,8187,8187,1.0000,8187,1.0000,0,0.0000
closure27,45,45,1.0000,45,1.0000,0,0.0000,45,45,1.0000,45,1.0000,0,0.0000,45,45,1.0000,45,1.0000,0,0.0000,45,45,1.0000,45,1.0000,0,0.0000
closure28,3838,3838,1.0000,3838,1.0000,0,0.0000,3838,3838,1.0000,3838,1.0000,0,0.0000,3838,3838,1.0000,3838,1.0000,0,0.0000,3838,3838,1.0000,3838,1.0000,0,0.0000
closure29,9858,9858,1.0000,9858,1.0000,0,0.0000,9858,9858,1.0000,9858,1.0000,0,0.0000,9858,9858,1.0000,9858,1.0000,0,0.0000,9858,9858,1.0000,9858,1.0000,0,0.0000
closure30,4243,4243,1.0000,4243,1.0000,0,0.0000,4243,4243,1.0000,4243,1.0000,0,0.0000,4243,4243,1.0000,4243,1.0000,0,0.0000,4243,4243,1.0000,4243,1.0000,0,0.0000
closure31,3273,3273,1.0000,3273,1.0000,0,0.0000,3273,3273,1.0000,3273,1.0000,0,0.0000,3273,3273,1.0000,3273,1.0000,0,0.0000,3273,3273,1.0000,3273,1.0000,0,0.0000
closure32,4305,4305,1.0000,4305,1.0000,0,0.0000,4305,4305,1.0000,4305,1.0000,0,0.0000,4305,4305,1.0000,4305,1.0000,0,0.0000,4305,4305,1.0000,4305,1.0000,0,0.0000
closure33,5414,5414,1.0000,5414,1.0000,0,0.0000,5414,5414,1.0000,5414,1.0000,0,0.0000,5414,5414,1.0000,5414,1.0000,0,0.0000,5414,5414,1.0000,5414,1.0000,0,0.0000
closure34,155,155,1.0000,155,1.0000,0,0.0000,155,155,1.0000,155,1.0000,0,0.0000,155,155,1.0000,155,1.0000,0,0.0000,155,155,1.0000,155,1.0000,0,0.0000
closure35,5255,5255,1.0000,5255,1.0000,0,0.0000,5255,5255,1.0000,5255,1.0000,0,0.0000,5255,5255,1.0000,5255,1.0000,0,0.0000,5255,5255,1.0000,5255,1.0000,0,0.0000
closure36,9647,9647,1.0000,9647,1.0000,0,0.0000,9647,9647,1.0000,9647,1.0000,0,0.0000,9647,9647,1.0000,9647,1.0000,0,0.0000,9647,9647,1.0000,9647,1.0000,0,0.0000
closure37,2295,2295,1.0000,2295,1.0000,0,0.0000,2295,2295,1.0000,2295,1.0000,0,0.0000,2295,2295,1.0000,2295,1.0000,0,0.0000,2295,2295,1.0000,2295,1.0000,0,0.0000
closure38,1405,53,0.0377,53,0.0377,0,0.0000,1405,53,0.0377,53,0.0377,0,0.0000,1405,53,0.0377,53,0.0377,0,0.0000,1405,53,0.0377,53,0.0377,0,0.0000
closure39,766,12,0.0157,11,0.0144,-1,-0.0013,766,12,0.0157,11,0.0144,-1,-0.0013,766,12,0.0157,11,0.0144,-1,-0.0013,766,12,0.0157,11,0.0144,-1,-0.0013
