ID,jaccard_fl,jaccard_flash,tarantula_fl,tarantula_flash,ochiai_fl,ochiai_flash,dstar_fl,dstar_flash
closure65,0.927719821162,0.599850968703,0.93219076006,0.605067064083,0.927719821162,0.599850968703,0.927719821162,0.599850968703
closure66,0.883981154299,0.473792697291,0.884864546525,0.475265017668,0.882214369847,0.472614840989,0.881919905771,0.472909305065
closure67,0.971288743883,0.604893964111,0.972267536705,0.606199021207,0.971941272431,0.604893964111,0.971288743883,0.604893964111
closure68,0.923791821561,0.563197026022,0.925650557621,0.565055762082,0.923791821561,0.563197026022,0.923791821561,0.563197026022
closure69,0.843195855748,0.361625821877,0.844789798765,0.362821279139,0.842199641363,0.360629607492,0.842199641363,0.361227336123
closure70,0.844134194624,0.382579704105,0.844550948114,0.383413211086,0.841633673682,0.38195457387,0.841633673682,0.382162950615
closure71,0.84649122807,0.388377192982,0.848026315789,0.389912280702,0.846710526316,0.388377192982,0.844078947368,0.387280701754
closure72,0.946428571429,0.520408163265,0.948696145125,0.522108843537,0.946712018141,0.520408163265,0.946428571429,0.520408163265
closure73,0.926847662142,0.601055806938,0.93137254902,0.606334841629,0.926847662142,0.601055806938,0.926847662142,0.601055806938
closure74,0.951606805293,0.625330812854,0.947826086957,0.626086956522,0.943289224953,0.620415879017,0.945557655955,0.621928166352
closure75,0.913793103448,0.543313708999,0.917577796468,0.546677880572,0.913793103448,0.543313708999,0.913793103448,0.543313708999
closure76,0.967482192629,0.582842985444,0.965624032208,0.582533292041,0.962836791576,0.578197584391,0.963765871787,0.58067513162
closure77,0.924528301887,0.606918238994,0.930031446541,0.612421383648,0.924528301887,0.606918238994,0.924528301887,0.606918238994
closure78,0.962164361269,0.646053702197,0.962978030919,0.647681041497,0.962164361269,0.646053702197,0.962164361269,0.646053702197
closure79,0.891979040709,0.50423216445,0.894800483676,0.507456670697,0.891172914148,0.50423216445,0.891979040709,0.50423216445
closure80,0.875757575758,0.527272727273,0.878787878788,0.530303030303,0.87196969697,0.524242424242,0.87196969697,0.524242424242
closure81,0.946372239748,0.578338590957,0.947423764458,0.579390115668,0.946372239748,0.578338590957,0.946372239748,0.578338590957
closure82,0.828447091159,0.363948694457,0.829592304169,0.365093907467,0.827301878149,0.363032524049,0.827530920751,0.363032524049
closure83,0.971428571429,0.817142857143,0.977142857143,0.822857142857,0.971428571429,0.817142857143,0.971428571429,0.817142857143
closure84,0.938669438669,0.567567567568,0.939708939709,0.568607068607,0.938669438669,0.567567567568,0.938669438669,0.567567567568
closure85,0.971388695045,0.58653175157,0.973133286811,0.587927424983,0.968946266574,0.585136078158,0.968946266574,0.584438241452
closure86,0.835543309799,0.335285000861,0.832960220424,0.335801618736,0.829860513174,0.333390735319,0.832615808507,0.334251765111
closure87,0.965909090909,0.606737012987,0.967532467532,0.60836038961,0.966314935065,0.607142857143,0.965909090909,0.606737012987
closure88,0.978391528334,0.599170005724,0.979536348025,0.60088723526,0.976960503721,0.594447624499,0.976101888952,0.593732112192
closure89,0.931263858093,0.508037694013,0.930432372506,0.509146341463,0.926274944568,0.505543237251,0.929046563193,0.508037694013
closure90,0.831303563374,0.347767253045,0.83198015336,0.348443843031,0.830852503383,0.347090663058,0.831078033378,0.347541723049
closure91,0.977672820953,0.663804207815,0.979390296264,0.665521683126,0.978102189781,0.664233576642,0.977672820953,0.663804207815
closure92,0.94431185362,0.564836913286,0.945902943516,0.566428003182,0.94431185362,0.564836913286,0.94431185362,0.564836913286
closure93,0.94431185362,0.564439140811,0.945902943516,0.566030230708,0.94431185362,0.564439140811,0.94431185362,0.564439140811
closure94,0.891278842393,0.508017207665,0.8947985921,0.511145874071,0.891669925694,0.508408290966,0.891278842393,0.508408290966
closure95,0.877100840336,0.398319327731,0.877731092437,0.399159663866,0.878781512605,0.399579831933,0.87731092437,0.398949579832
closure96,0.871564217891,0.395552223888,0.873813093453,0.397551224388,0.871564217891,0.395552223888,0.871564217891,0.395552223888
closure97,0.978084802287,0.656503096713,0.97903763697,0.657455931396,0.978561219628,0.656503096713,0.978084802287,0.656503096713
closure98,0.941176470588,0.525951557093,0.942560553633,0.527335640138,0.941522491349,0.525951557093,0.941176470588,0.525951557093
closure99,0.975111111111,0.655555555556,0.975555555556,0.656444444444,0.972,0.654222222222,0.974222222222,0.654666666667
closure100,0.969777306469,0.670201484624,0.969777306469,0.670201484624,0.967656415695,0.669141039236,0.966595970308,0.668610816543
closure101,0.995305164319,0.70441314554,0.996244131455,0.705915492958,0.995492957746,0.704600938967,0.995305164319,0.70441314554
closure102,0.963260619977,0.572474167623,0.965126291619,0.574196326062,0.963547646383,0.572904707233,0.963117106774,0.572474167623
closure103,0.8982976866,0.425796595373,0.898515931907,0.426014840681,0.896115233522,0.424705368835,0.896115233522,0.424705368835
closure104,0.938253012048,0.628012048193,0.939759036145,0.629518072289,0.938253012048,0.628012048193,0.938253012048,0.628012048193
closure105,0.962194559705,0.591055786077,0.96265560166,0.591516828031,0.962194559705,0.591055786077,0.962194559705,0.591055786077
closure106,0.903278156443,0.496916585524,0.902953586498,0.496916585524,0.89970788705,0.494969165855,0.89970788705,0.49594287569
closure107,0.986986043003,0.676159939645,0.988683515654,0.678234628442,0.987174651075,0.676159939645,0.986986043003,0.676159939645
closure108,0.942021276596,0.538563829787,0.94414893617,0.540425531915,0.942021276596,0.538563829787,0.942021276596,0.538563829787
closure109,0.91192517537,0.542478565861,0.912704598597,0.543257989088,0.911145752143,0.542478565861,0.911145752143,0.542478565861
closure110,0.870239298955,0.487698011459,0.872598584429,0.490394337715,0.868891135827,0.486686889114,0.868554095046,0.486686889114
closure111,0.955688112484,0.660843630166,0.957818491692,0.662974009374,0.955688112484,0.660843630166,0.955688112484,0.660843630166
closure112,0.878515369523,0.379496402878,0.879169391759,0.380640941792,0.878515369523,0.379496402878,0.877697841727,0.379169391759
closure113,0.928045515395,0.554886211513,0.930388219545,0.557228915663,0.928045515395,0.554886211513,0.928045515395,0.554886211513
closure114,0.936906211937,0.537393422655,0.938367844093,0.539098660171,0.937149817296,0.537393422655,0.936906211937,0.537393422655
closure115,0.904717158429,0.417590678444,0.904153354633,0.417966547641,0.896823905281,0.413831986469,0.894756624695,0.412892313475
closure116,0.911875427789,0.436173853525,0.911019849418,0.432922655715,0.899383983573,0.425906913073,0.900581793292,0.426762491444
