Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.apache.commons.lang3.time.FastDateParser#838,-1,-1,-1,0.0175,0.5000,0.1865,0.0714
org.apache.commons.lang3.time.FastDateParser#844,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#845,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#846,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#847,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#848,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#849,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#850,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#851,-1,-1,-1,0.0175,0.5000,0.1865,0.0714
org.apache.commons.lang3.time.FastDateParser#857,-1,-1,-1,0.0175,0.5000,0.1865,0.0714
org.apache.commons.lang3.time.FastDateParser#863,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#864,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#865,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#866,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDatePrinter#1067,-1,-1,-1,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#136,-1,-1,-1,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#137,20,19,22,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#138,22,3725,383,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#139,383,382,385,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#141,385,384,386,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#142,-1,-1,-1,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#148,357,957,959,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#149,959,2635,1528,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#151,1528,2625,1703,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#152,1703,2023,461,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#153,115,116,117,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#156,461,460,462,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#157,-1,-1,-1,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#168,55,951,953,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#169,953,952,633,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#171,633,632,633,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#172,633,632,633,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#173,633,632,633,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#174,633,632,633,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#175,633,632,633,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDatePrinter#176,633,632,633,0.0115,0.3993,0.0762,0.0116
