Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.mockito.internal.creation.CglibMockMaker#46,423,406,114,0.0017,0.6408,0.0407,0.0017
org.mockito.internal.creation.CglibMockMaker#49,114,113,103,0.0017,0.6412,0.0408,0.0017
org.mockito.internal.creation.DelegatingMethod#12,-1,-1,-1,0.0015,0.6155,0.0386,0.0015
org.mockito.internal.creation.DelegatingMethod#16,-1,-1,-1,0.0015,0.6155,0.0386,0.0015
org.mockito.internal.creation.DelegatingMethod#17,4304,16211,16210,0.0015,0.6155,0.0386,0.0015
org.mockito.internal.creation.DelegatingMethod#18,16210,16212,4265,0.0015,0.6155,0.0386,0.0015
org.mockito.internal.creation.DelegatingMethod#19,-1,-1,-1,0.0015,0.6155,0.0386,0.0015
org.mockito.internal.creation.DelegatingMethod#26,15,14,16,0.0016,0.6310,0.0399,0.0016
org.mockito.internal.creation.DelegatingMethod#42,15,14,16,0.0016,0.6288,0.0397,0.0016
org.mockito.internal.creation.DelegatingMockitoMethodProxy#13,-1,-1,-1,0.0016,0.6284,0.0397,0.0016
org.mockito.internal.creation.DelegatingMockitoMethodProxy#14,115,116,117,0.0016,0.6284,0.0397,0.0016
org.mockito.internal.creation.DelegatingMockitoMethodProxy#15,-1,-1,-1,0.0016,0.6284,0.0397,0.0016
org.mockito.internal.creation.DelegatingMockitoMethodProxy#18,15,14,16,0.0016,0.6288,0.0397,0.0016
org.mockito.internal.creation.MethodInterceptorFilter#34,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MethodInterceptorFilter#35,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MethodInterceptorFilter#37,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MethodInterceptorFilter#39,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MethodInterceptorFilter#40,20,848,849,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MethodInterceptorFilter#41,849,833,13,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MethodInterceptorFilter#42,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MethodInterceptorFilter#46,41,181,183,0.0014,0.6064,0.0379,0.0014
org.mockito.internal.creation.MethodInterceptorFilter#48,11097,11091,11098,0.0015,0.6155,0.0386,0.0015
org.mockito.internal.creation.MethodInterceptorFilter#50,11097,11091,11098,0.0015,0.6162,0.0386,0.0015
org.mockito.internal.creation.MethodInterceptorFilter#54,183,8845,2246,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.MethodInterceptorFilter#55,2246,2832,1313,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.MethodInterceptorFilter#57,1313,1312,1315,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.MethodInterceptorFilter#59,1315,12469,287,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.MethodInterceptorFilter#60,287,286,288,0.0015,0.6165,0.0387,0.0015
org.mockito.internal.creation.MethodInterceptorFilter#65,15,14,16,0.0017,0.6412,0.0408,0.0017
org.mockito.internal.creation.MethodInterceptorFilter#73,99,100,102,0.0015,0.6158,0.0386,0.0015
org.mockito.internal.creation.MethodInterceptorFilter#75,102,101,103,0.0016,0.6284,0.0397,0.0016
org.mockito.internal.creation.MethodInterceptorFilter#79,135,134,136,0.0015,0.6158,0.0386,0.0015
org.mockito.internal.creation.MethodInterceptorFilter#82,15,14,16,0.0016,0.6284,0.0397,0.0016
org.mockito.internal.creation.MockSettingsImpl#141,15,14,16,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.MockSettingsImpl#145,90,89,92,0.0010,0.5117,0.0312,0.0010
